timestamp,index,mem_used_MiB,mem_total_MiB,util_gpu,util_mem
2025-08-16 01:51:58,1, 16615, 81920, 100, 69
2025-08-16 01:51:59,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:51:59,1, 16615, 81920, 84, 54
2025-08-16 01:52:00,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:00,1, 16615, 81920, 100, 57
2025-08-16 01:52:01,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:01,1, 16615, 81920, 100, 44
2025-08-16 01:52:02,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:02,1, 16615, 81920, 100, 39
2025-08-16 01:52:03,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:03,1, 16615, 81920, 100, 59
2025-08-16 01:52:04,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:04,1, 16615, 81920, 100, 66
2025-08-16 01:52:05,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:05,1, 16615, 81920, 68, 34
2025-08-16 01:52:06,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:06,1, 16615, 81920, 76, 49
2025-08-16 01:52:07,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:07,1, 16615, 81920, 100, 69
2025-08-16 01:52:08,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:08,1, 16615, 81920, 35, 14
2025-08-16 01:52:09,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:09,1, 16615, 81920, 100, 69
2025-08-16 01:52:10,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:10,1, 16615, 81920, 100, 54
2025-08-16 01:52:11,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:11,1, 16615, 81920, 100, 55
2025-08-16 01:52:12,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:12,1, 16615, 81920, 88, 54
2025-08-16 01:52:13,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:13,1, 16615, 81920, 100, 59
2025-08-16 01:52:15,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:15,1, 16615, 81920, 78, 40
2025-08-16 01:52:16,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:16,1, 16615, 81920, 100, 40
2025-08-16 01:52:17,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:17,1, 16615, 81920, 100, 57
2025-08-16 01:52:18,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:18,1, 16615, 81920, 100, 65
2025-08-16 01:52:19,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:19,1, 16615, 81920, 100, 68
2025-08-16 01:52:20,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:20,1, 16615, 81920, 67, 38
2025-08-16 01:52:21,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:21,1, 16615, 81920, 100, 63
2025-08-16 01:52:22,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:22,1, 16615, 81920, 100, 48
2025-08-16 01:52:23,0, 2827, 81920, [N/A], [N/A]
2025-08-16 01:52:23,1, 16615, 81920, 100, 40
2025-08-16 01:52:24,0, 2827, 81920, [N/A], [N/A]
